profile,0,Delbert,Zavacky,F,12/24/1961,Delbert.Zavacky@hotmail.com,775-938-5819 
education,0,Bacholers,Engineering,California Institute of Technology,1979,1982 
job,0,Entry,Hewlit-Packard,Orlando FL,1982,1987 
education,0,Masters,Management,Duke University,1987,1988 
job,0,Advisory,General Electric,Detroit MI,1988,1993 
job,0,Senior,DOW Chemical,Las Vegas NV,1993,1998 
job,0,Lead,DOW Chemical,Las Vegas NV,1998,2004 
job,0,Chief,AT&T,Albuquerque NM,2004,2009 
job,0,Chief,AT&T,Albuquerque NM,2009,Current 
profile,1,Marcy,Weibel,M,10/25/1964,Marcy.Weibel@gmail.com,197-422-7151 
education,1,Bacholers,Business,University of Notre Dame,1980,1986 
job,1,Entry,Delphi,Portland OR,1986,1988 
job,1,Staff,General Electric,Minneapolis MN,1988,1996 
education,1,Masters,Accounting,University of Pennsylvania,1996,1997 
job,1,Senior,General Electric,Minneapolis MN,1997,2003 
job,1,Lead,General Electric,Minneapolis MN,2003,2007 
job,1,Chief,DOW Chemical,Phoenix AZ,2007,2012 
job,1,Chief,Verizon,Portland OR,2012,Current 
profile,2,Stacie,Jacquem,F,11/19/1950,Stacie.Jacquem@yahoo.com,399-999-4496 
job,2,Hourly,Citigroup,San Fransico CA,1968,1975 
education,2,Bacholers,PolySci,University of Pennsylvania,1975,1980 
education,2,Masters,Local Government,Carnegie Mellon University,1980,1981 
job,2,Advisory,Citigroup,Milwaukee WI,1981,1986 
job,2,Senior,Citigroup,Philadelphia PA,1986,1989 
job,2,Lead,Citigroup,Albuquerque NM,1989,1996 
job,2,Chief,Citigroup,Albuquerque NM,1996,1999 
job,2,Chief,Citigroup,Albuquerque NM,1999,2001 
job,2,Chief,US Government,Houston TX,2001,2009 
job,2,Chief,US Government,Houston TX,2009,Current 
profile,3,Darell,Radakovich,M,4/11/1947,Darell.Radakovich@yahoo.com,765-588-1951 
education,3,Bacholers,PolySci,Yale University,1965,1970 
education,3,Masters,International Relations,Carnegie Mellon University,1970,1971 
job,3,Staff,Citigroup,San Fransico CA,1971,1975 
job,3,Advisory,Citigroup,Las Vegas NV,1975,1978 
job,3,Senior,Citigroup,Las Vegas NV,1978,1983 
job,3,Lead,Citigroup,Las Vegas NV,1983,1989 
job,3,Chief,Citigroup,Las Vegas NV,1989,1991 
job,3,Chief,Citigroup,Las Vegas NV,1991,1998 
job,3,Chief,Citigroup,New York NY,1998,1999 
job,3,Chief,Citigroup,New York NY,1999,2003 
job,3,Chief,Citigroup,New York NY,2003,2005 
job,3,Chief,Citigroup,New York NY,2005,2007 
job,3,Chief,Citigroup,New York NY,2007,2013 
job,3,Chief,Citigroup,New York NY,2013,Current 
profile,4,Lawanda,Lamielle,F,8/18/1974,Lawanda.Lamielle@yahoo.com,685-196-5712 
education,4,Bacholers,Law,Cornell University,1992,1996 
job,4,Entry,Wal-Mart,Houston TX,1996,2000 
education,4,Masters,Corporate,New York University,2000,2002 
job,4,Advisory,Wal-Mart,Houston TX,2002,2006 
job,4,Senior,Wal-Mart,Houston TX,2006,Current 
profile,5,Kasi,Tenario,F,11/08/1948,Kasi.Tenario@hotmail.com,469-889-4246 
education,5,Bacholers,Engineering,Massachusetts Institute of Technology,1966,1970 
education,5,Masters,Management,Carnegie Mellon University,1970,1972 
job,5,Staff,Motorola,Houston TX,1972,1981 
job,5,Advisory,Motorola,Houston TX,1981,1984 
job,5,Senior,Motorola,Houston TX,1984,1987 
job,5,Lead,Intel,Washington DC,1987,1997 
job,5,Chief,Intel,Washington DC,1997,2007 
job,5,Chief,Intel,Washington DC,2007,2010 
job,5,Chief,Intel,Washington DC,2010,Current 
profile,6,Adell,Buford,M,4/03/1959,Adell.Buford@yahoo.com,197-962-7857 
education,6,Bacholers,Healthcare,Rice University,1976,1980 
job,6,Entry,Kroger,Washington DC,1980,1981 
job,6,Staff,Kroger,Washington DC,1981,1987 
education,6,Masters,Nursing,Johns Hopkins University,1987,1989 
job,6,Senior,Kroger,Washington DC,1989,1998 
job,6,Lead,Kroger,Washington DC,1998,2003 
job,6,Chief,Cisco Systems,Portland OR,2003,2009 
job,6,Chief,Cisco Systems,Portland OR,2009,Current 
profile,7,Leoma,Moczygemba,M,8/22/1952,Leoma.Moczygemba@hotmail.com,633-189-8487 
education,7,Bacholers,Science,University of Michigan,1971,1977 
job,7,Entry,US Government,San Fransico CA,1977,1983 
job,7,Staff,US Government,San Fransico CA,1983,1984 
job,7,Advisory,US Government,San Fransico CA,1984,1989 
job,7,Senior,DOW Chemical,Houston TX,1989,1990 
job,7,Lead,DOW Chemical,Houston TX,1990,1991 
job,7,Chief,DOW Chemical,Houston TX,1991,1995 
job,7,Chief,General Electric,Minneapolis MN,1995,1999 
job,7,Chief,General Electric,Minneapolis MN,1999,2002 
job,7,Chief,General Electric,Minneapolis MN,2002,2007 
job,7,Chief,DOW Chemical,Detroit MI,2007,2013 
job,7,Chief,DOW Chemical,Detroit MI,2013,Current 
profile,8,Summer,Klemetson,M,4/27/1978,Summer.Klemetson@gmail.com,541-475-4623 
education,8,Bacholers,Business,University of North Carolina,1995,1999 
education,8,Masters,Economics,University of Notre Dame,1999,2001 
job,8,Staff,General Electric,Milwaukee WI,2001,2007 
job,8,Advisory,General Electric,Milwaukee WI,2007,Current 
profile,9,Cassandra,Ligas,F,6/12/1977,Cassandra.Ligas@yahoo.com,298-643-5457 
job,9,Hourly,Kroger,Milwaukee WI,1996,2001 
education,9,Bacholers,Law,Rice University,2001,2005 
job,9,Staff,Kroger,Milwaukee WI,2005,2006 
job,9,Advisory,Kroger,Milwaukee WI,2006,Current 
profile,10,Kasi,Lafata,M,11/27/1947,Kasi.Lafata@yahoo.com,872-982-4186 
education,10,Bacholers,Education,University of Notre Dame,1966,1971 
job,10,Entry,State Department,Minneapolis MN,1971,1973 
job,10,Staff,State Department,Minneapolis MN,1973,1981 
job,10,Advisory,US Government,Philadelphia PA,1981,1982 
job,10,Senior,US Government,Philadelphia PA,1982,1983 
job,10,Lead,US Government,Philadelphia PA,1983,1987 
job,10,Chief,State Department,Orlando FL,1987,1988 
job,10,Chief,State Department,Orlando FL,1988,1990 
job,10,Chief,US Government,Portland OR,1990,1995 
job,10,Chief,US Government,Portland OR,1995,2001 
job,10,Chief,US Government,Portland OR,2001,2003 
job,10,Chief,US Government,Portland OR,2003,2010 
job,10,Chief,US Government,Portland OR,2010,2011 
job,10,Chief,US Government,Portland OR,2011,Current 
profile,11,Janise,Kimberlin,M,5/24/1968,Janise.Kimberlin@gmail.com,535-764-5183 
job,11,Hourly,Wal-Mart,Detroit MI,1985,1987 
job,11,Hourly,Wal-Mart,Detroit MI,1987,1991 
education,11,Bacholers,Law,Columbia University,1991,1995 
job,11,Advisory,Wal-Mart,Detroit MI,1995,2002 
job,11,Senior,Wal-Mart,Detroit MI,2002,2006 
job,11,Lead,Wal-Mart,Detroit MI,2006,2009 
job,11,Chief,Wal-Mart,Detroit MI,2009,2012 
job,11,Chief,Wal-Mart,Detroit MI,2012,Current 
profile,12,Mendy,Mclucas,F,9/14/1962,Mendy.Mclucas@yahoo.com,295-278-6525 
education,12,Bacholers,Science,Carnegie Mellon University,1980,1983 
job,12,Entry,General Electric,Oklahoma City OK,1983,1986 
job,12,Staff,General Electric,Oklahoma City OK,1986,1988 
education,12,Masters,Chemist,Johns Hopkins University,1988,1990 
job,12,Senior,General Electric,Oklahoma City OK,1990,1993 
job,12,Lead,General Electric,Oklahoma City OK,1993,1995 
job,12,Chief,General Electric,Oklahoma City OK,1995,1998 
job,12,Chief,General Electric,Oklahoma City OK,1998,2004 
job,12,Chief,Chevron,Minneapolis MN,2004,2005 
job,12,Chief,Chevron,Minneapolis MN,2005,2011 
job,12,Chief,Chevron,Minneapolis MN,2011,Current 
profile,13,Donny,Liskey,F,4/22/1957,Donny.Liskey@yahoo.com,259-522-6118 
education,13,Bacholers,Science,University of Michigan,1974,1978 
education,13,Masters,Biologist,University of Texas,1978,1979 
job,13,Staff,Exxon Mobil,Albuquerque NM,1979,1984 
job,13,Advisory,Exxon Mobil,Albuquerque NM,1984,1987 
job,13,Senior,Exxon Mobil,Albuquerque NM,1987,1991 
job,13,Lead,Exxon Mobil,Albuquerque NM,1991,1994 
job,13,Chief,Exxon Mobil,Albuquerque NM,1994,2001 
job,13,Chief,Exxon Mobil,Albuquerque NM,2001,2009 
job,13,Chief,Lockheed Martin,Detroit MI,2009,2011 
job,13,Chief,Lockheed Martin,Detroit MI,2011,Current 
profile,14,Migdalia,Hollibaugh,F,5/19/1962,Migdalia.Hollibaugh@yahoo.com,855-756-3616 
job,14,Hourly,Bank of America,Los Angeles CA,1981,1990 
education,14,Bacholers,Business,University of Southern California,1990,1995 
job,14,Staff,Bank of America,Los Angeles CA,1995,2004 
education,14,Masters,Economics,New York University,2004,2006 
job,14,Senior,Bank of America,Los Angeles CA,2006,2013 
job,14,Lead,Bank of America,Los Angeles CA,2013,Current 
profile,15,Rex,Ortaga,F,2/13/1983,Rex.Ortaga@yahoo.com,456-269-9528 
education,15,Bacholers,Science,University of California--Berkeley,2000,2004 
job,15,Entry,Motorola,Denver CO,2004,2008 
job,15,Staff,Motorola,Denver CO,2008,Current 
profile,16,Lizeth,Sewade,F,8/06/1962,Lizeth.Sewade@gmail.com,894-592-6214 
job,16,Hourly,Citigroup,Las Vegas NV,1980,1987 
education,16,Bacholers,Science,Johns Hopkins University,1987,1991 
education,16,Masters,Chemist,University of California--Los Angeles,1991,1993 
job,16,Advisory,Citigroup,Las Vegas NV,1993,1995 
job,16,Senior,Citigroup,Las Vegas NV,1995,1999 
job,16,Lead,Citigroup,Las Vegas NV,1999,2005 
job,16,Chief,Citigroup,Las Vegas NV,2005,2008 
job,16,Chief,Intel,Austin TX,2008,2011 
job,16,Chief,Intel,Austin TX,2011,Current 
profile,17,Shanelle,Matzinger,F,8/08/1952,Shanelle.Matzinger@yahoo.com,924-317-7989 
education,17,Bacholers,Business,University of Notre Dame,1970,1976 
education,17,Masters,Analytics,New York University,1976,1978 
job,17,Staff,Bank of America,Philadelphia PA,1978,1982 
job,17,Advisory,Bank of America,Philadelphia PA,1982,1991 
job,17,Senior,Bank of America,Philadelphia PA,1991,1996 
job,17,Lead,Bank of America,Philadelphia PA,1996,1998 
job,17,Chief,Bank of America,Philadelphia PA,1998,2001 
job,17,Chief,Bank of America,Philadelphia PA,2001,2008 
job,17,Chief,Bank of America,Philadelphia PA,2008,2009 
job,17,Chief,Bank of America,Philadelphia PA,2009,2013 
job,17,Chief,Bank of America,Las Vegas NV,2013,Current 
profile,18,Venus,Chebret,M,2/27/1963,Venus.Chebret@yahoo.com,381-254-2538 
education,18,Bacholers,Healthcare,Michigan State University,1981,1985 
education,18,Masters,Nursing,Northwestern University,1985,1987 
job,18,Staff,Lockheed Martin,Albuquerque NM,1987,1989 
job,18,Advisory,IBM,Washington DC,1989,1994 
job,18,Senior,IBM,Washington DC,1994,2002 
job,18,Lead,IBM,Washington DC,2002,2004 
job,18,Chief,IBM,Washington DC,2004,2007 
job,18,Chief,IBM,Washington DC,2007,2009 
job,18,Chief,Lockheed Martin,San Fransico CA,2009,2012 
job,18,Chief,Lockheed Martin,San Fransico CA,2012,Current 
profile,19,Evelyn,Kumfer,F,9/27/1973,Evelyn.Kumfer@gmail.com,776-943-9858 
education,19,Bacholers,Education,Harvard University,1992,1996 
education,19,Masters,History,Cornell University,1996,1998 
job,19,Staff,State Department,Albuquerque NM,1998,2005 
job,19,Advisory,US Government,Oklahoma City OK,2005,2010 
job,19,Senior,US Government,Oklahoma City OK,2010,Current 
profile,20,Gracia,Stratis,F,11/12/1964,Gracia.Stratis@hotmail.com,862-132-6669 
education,20,Bacholers,Business,University of Pennsylvania,1983,1987 
education,20,Masters,Economics,Princeton University,1987,1988 
job,20,Staff,J.P. Morgan Chase,Portland OR,1988,1995 
job,20,Advisory,J.P. Morgan Chase,Portland OR,1995,1997 
job,20,Senior,General Motors,Washington DC,1997,2003 
job,20,Lead,General Motors,Washington DC,2003,2005 
job,20,Chief,Microsoft,Atlanta GA,2005,2013 
job,20,Chief,Kroger,Houston TX,2013,Current 
profile,21,Kenisha,Antee,F,1/18/1989,Kenisha.Antee@gmail.com,998-755-8624 
education,21,Bacholers,PolySci,Columbia University,2005,2009 
job,21,Entry,Citigroup,San Fransico CA,2009,2013 
education,21,Masters,Local Government,Columbia University,2013,Current 
job,21,Advisory,State Department,Detroit MI,2015,Current 
profile,22,Janyce,Yerigan,M,11/15/1948,Janyce.Yerigan@gmail.com,823-371-6467 
job,22,Hourly,General Motors,Minneapolis MN,1966,1973 
education,22,Bacholers,Healthcare,Duke University,1973,1978 
job,22,Staff,Lockheed Martin,Albuquerque NM,1978,1979 
job,22,Advisory,Lockheed Martin,Albuquerque NM,1979,1986 
job,22,Senior,Cisco Systems,Albuquerque NM,1986,1991 
job,22,Lead,Cisco Systems,Albuquerque NM,1991,1996 
job,22,Chief,Cisco Systems,Albuquerque NM,1996,2003 
job,22,Chief,Cisco Systems,Albuquerque NM,2003,2010 
job,22,Chief,Cisco Systems,Albuquerque NM,2010,Current 
profile,23,Charlsie,Cogley,M,11/02/1978,Charlsie.Cogley@gmail.com,975-237-4772 
education,23,Bacholers,Education,Michigan State University,1995,1998 
education,23,Masters,History,University of Michigan,1998,1999 
education,23,PHD,Geologist,Boston College,1999,2000 
job,23,Advisory,US Government,Detroit MI,2000,2007 
job,23,Senior,US Government,Detroit MI,2007,2011 
job,23,Lead,State Department,Houston TX,2011,Current 
profile,24,Nancee,Soderholm,M,5/02/1987,Nancee.Soderholm@gmail.com,427-967-5434 
education,24,Bacholers,Engineering,University of Southern California,2005,2010 
