profile,0,Jamey,Liew,F,7/25/1952,Jamey.Liew@gmail.com,851-711-4493 
education,0,Bacholers,Law,University of California--Los Angeles,1970,1974 
job,0,title,DOW Chemical,Phoenix AZ,1974,1978 
job,0,title,DOW Chemical,Phoenix AZ,1978,1982 
education,0,Masters,Family,University of California--Los Angeles,1982,1983 
job,0,title,DOW Chemical,Phoenix AZ,1983,1984 
job,0,title,DOW Chemical,Phoenix AZ,1984,1986 
job,0,title,DOW Chemical,Phoenix AZ,1986,1989 
job,0,title,DOW Chemical,Phoenix AZ,1989,1993 
job,0,title,DOW Chemical,Phoenix AZ,1993,1997 
job,0,title,IBM,Orlando FL,1997,1998 
job,0,title,Chevron,Philadelphia PA,1998,2005 
job,0,title,Chevron,Philadelphia PA,2005,2007 
job,0,title,Chevron,Philadelphia PA,2007,2009 
job,0,title,Chevron,Philadelphia PA,2009,Current 
profile,1,Dagmar,Aker,F,7/13/1982,Dagmar.Aker@yahoo.com,577-888-2146 
education,1,Bacholers,Law,Johns Hopkins University,1999,2004 
education,1,Masters,Criminal,University of Southern California,2004,2005 
job,1,title,Wal-Mart,Oklahoma City OK,2005,2009 
job,1,title,Wal-Mart,Oklahoma City OK,2009,2013 
job,1,title,Citigroup,Las Vegas NV,2013,Current 
profile,2,Leopoldo,Huntsberger,M,9/26/1964,Leopoldo.Huntsberger@yahoo.com,898-876-6943 
education,2,Bacholers,Business,Yale University,1982,1987 
education,2,Masters,Economics,University of California--Los Angeles,1987,1989 
job,2,title,IBM,Orlando FL,1989,1993 
job,2,title,IBM,Orlando FL,1993,1997 
job,2,title,Berkshire Hathaway,Philadelphia PA,1997,2002 
job,2,title,Berkshire Hathaway,Philadelphia PA,2002,2009 
job,2,title,J.P. Morgan Chase,Chicago IL,2009,Current 
profile,3,Tempie,Karmel,F,5/06/1974,Tempie.Karmel@hotmail.com,754-536-7699 
job,3,title,Exxon Mobil,Phoenix AZ,1991,1996 
education,3,Bacholers,Law,University of Notre Dame,1996,2000 
job,3,title,Exxon Mobil,Cleveland OH,2000,2010 
education,3,Masters,Civil Rights,University of Notre Dame,2010,2011 
job,3,title,Berkshire Hathaway,Milwaukee WI,2011,2013 
